recording_id,speaker_id,segment_id,type,text,segment_start,segment_end,clip_path
disf_false_start_22,dataset,22,false_start,ऐह,0.0,0.0,
disf_false_start_23,dataset,23,false_start,क-,0.0,0.0,
disf_false_start_24,dataset,24,false_start,अरे,0.0,0.0,
disf_false_start_25,dataset,25,false_start,ओहो,0.0,0.0,
disf_false_start_26,dataset,26,repetition,वो वो,0.0,0.0,
disf_false_start_27,dataset,27,false_start,आ-,0.0,0.0,
disf_false_start_28,dataset,28,false_start,जैसे-अ वो,0.0,0.0,
disf_false_start_29,dataset,29,repetition,बग बग बग,0.0,0.0,
disf_false_start_30,dataset,30,false_start,मु—,0.0,0.0,
disf_false_start_31,dataset,31,repetition,बस बस,0.0,0.0,
disf_false_start_32,dataset,32,false_start,"मुझे नहीं, मुझे लगता है",0.0,0.0,
disf_false_start_33,dataset,33,false_start,सु—,0.0,0.0,
disf_false_start_34,dataset,34,false_start,बन—,0.0,0.0,
disf_false_start_35,dataset,35,false_start,में—,0.0,0.0,
disf_false_start_36,dataset,36,false_start,अ—,0.0,0.0,
disf_false_start_37,dataset,37,false_start,म—,0.0,0.0,
disf_false_start_38,dataset,38,false_start,त—,0.0,0.0,
disf_false_start_39,dataset,39,false_start,व—,0.0,0.0,
disf_false_start_40,dataset,40,false_start,नही—,0.0,0.0,
disf_false_start_41,dataset,41,false_start,सर—,0.0,0.0,
disf_false_start_42,dataset,42,false_start,पर—,0.0,0.0,
disf_false_start_43,dataset,43,false_start,काम क—,0.0,0.0,
disf_false_start_44,dataset,44,false_start,हा ओ,0.0,0.0,
disf_prolongation_0,dataset,0,prolongation,अच्छ्छ्छा,0.0,0.0,
disf_prolongation_1,dataset,1,filler,हम्म,0.0,0.0,
disf_prolongation_2,dataset,2,prolongation,आाा,0.0,0.0,
disf_prolongation_3,dataset,3,repetition,रे रे,0.0,0.0,
disf_prolongation_4,dataset,4,prolongation,अह,0.0,0.0,
disf_prolongation_5,dataset,5,repetition,नी नी नी,0.0,0.0,
disf_prolongation_6,dataset,6,repetition,अ अ अ अ,0.0,0.0,
disf_prolongation_7,dataset,7,prolongation,रुकोओओ,0.0,0.0,
disf_prolongation_8,dataset,8,filler,ना,0.0,0.0,
disf_prolongation_9,dataset,9,filler,हां,0.0,0.0,
disf_prolongation_10,dataset,10,elongation,नहींईईई,0.0,0.0,
disf_prolongation_11,dataset,11,elongation,हाँआआआ,0.0,0.0,
disf_prolongation_12,dataset,12,repetition,हूँ हूँ हूँ हूँ,0.0,0.0,
disf_prolongation_13,dataset,13,repetition,हुं हुं हुं हुं हुं हुं,0.0,0.0,
disf_prolongation_14,dataset,14,repetition,हूँ हूँ हूँ हूँ हूँ हूँ हूँ,0.0,0.0,
disf_prolongation_15,dataset,15,prolongation,अच्छ्छ्छा,0.0,0.0,
disf_prolongation_16,dataset,16,filler,हम्म,0.0,0.0,
disf_prolongation_17,dataset,17,prolongation,आाा,0.0,0.0,
disf_prolongation_18,dataset,18,prolongation,हाँाँाँ,0.0,0.0,
disf_prolongation_19,dataset,19,prolongation,ओोो,0.0,0.0,
disf_prolongation_20,dataset,20,elongation,ईईई,0.0,0.0,
disf_prolongation_21,dataset,21,elongation,रेेे,0.0,0.0,
disf_prolongation_22,dataset,22,elongation,अरेेे,0.0,0.0,
disf_prolongation_23,dataset,23,elongation,हांंं,0.0,0.0,
disf_prolongation_24,dataset,24,elongation,उंंं,0.0,0.0,
disf_prolongation_25,dataset,25,elongation,आंंं,0.0,0.0,
disf_prolongation_26,dataset,26,prolongation,अह्ह्ह,0.0,0.0,
disf_self_correction_0,dataset,0,self_correction,कल—,0.0,0.0,
disf_self_correction_1,dataset,1,self_correction,नहीं—,0.0,0.0,
disf_self_correction_2,dataset,2,self_correction,परसों—,0.0,0.0,
disf_self_correction_3,dataset,3,self_correction,माफ़—,0.0,0.0,
disf_self_correction_4,dataset,4,self_correction,नहीं तो हां तो ये,0.0,0.0,
disf_self_correction_5,dataset,5,filler,हम्म,0.0,0.0,
disf_self_correction_6,dataset,6,filler,मतलब,0.0,0.0,
disf_self_correction_7,dataset,7,self_correction,ये तो बाकी तो,0.0,0.0,
disf_self_correction_8,dataset,8,self_correction,मो मा में महाराष्ट्र,0.0,0.0,
disf_self_correction_9,dataset,9,repetition,है है,0.0,0.0,
disf_self_correction_10,dataset,10,self_correction,अ पे से,0.0,0.0,
disf_self_correction_11,dataset,11,self_correction,बट अगर मैं आपको फिर भी अगर बताऊँ,0.0,0.0,
disf_self_correction_12,dataset,12,filler,मतलब,0.0,0.0,
disf_self_correction_13,dataset,13,self_correction,कुछ ना कुछ तो मेरे तो,0.0,0.0,
disf_self_correction_14,dataset,14,filler,ये,0.0,0.0,
disf_self_correction_15,dataset,15,self_correction,मैं स्कूल__ कॉलेज,0.0,0.0,
disf_self_correction_16,dataset,16,self_correction,मैं सोच रहा हूँ नहीं,0.0,0.0,
disf_self_correction_17,dataset,17,self_correction,आज__कल,0.0,0.0,
disf_self_correction_18,dataset,18,filler,मतलब,0.0,0.0,
disf_self_correction_19,dataset,19,filler,मतलब,0.0,0.0,
disf_self_correction_20,dataset,20,repetition,आठ आठ,0.0,0.0,
disf_self_correction_21,dataset,21,self_correction,जो भी तरीका जो भी है,0.0,0.0,
disf_self_correction_22,dataset,22,repetition,हाँ हाँ,0.0,0.0,
disf_self_correction_23,dataset,23,self_correction,वो ना वो जो,0.0,0.0,
disf_self_correction_24,dataset,24,self_correction,हाँ हूँ वो तो है वो तो है,0.0,0.0,
disf_self_correction_25,dataset,25,self_correction,हाँ बहुत हाँ वो भी है,0.0,0.0,
disf_self_correction_26,dataset,26,self_correction,मैंने सुना है__नहीं,0.0,0.0,
disf_self_correction_27,dataset,27,self_correction,यह आसान काम है नहीं कठिन,0.0,0.0,
disf_self_correction_28,dataset,28,self_correction,बचा- बताना,0.0,0.0,
disf_self_correction_29,dataset,29,self_correction,बिल बिलकुल,0.0,0.0,
disf_self_correction_30,dataset,30,repetition,ब ब,0.0,0.0,
disf_self_correction_31,dataset,31,self_correction,चोर मा चोर,0.0,0.0,
disf_self_correction_32,dataset,32,self_correction,आज—,0.0,0.0,
disf_self_correction_33,dataset,33,self_correction,अभी—,0.0,0.0,
disf_self_correction_34,dataset,34,self_correction,नहीं तो—,0.0,0.0,
disf_self_correction_35,dataset,35,self_correction,मेरा—नहीं—,0.0,0.0,
disf_self_correction_36,dataset,36,self_correction,हाँ—नहीं—,0.0,0.0,
disf_self_correction_37,dataset,37,self_correction,ठीक—नहीं—,0.0,0.0,
disf_self_correction_38,dataset,38,self_correction,वो—नहीं—,0.0,0.0,
disf_self_correction_39,dataset,39,self_correction,आह—नहीं—,0.0,0.0,
disf_self_correction_40,dataset,40,self_correction,रहने दो—,0.0,0.0,
disf_self_correction_41,dataset,41,filler,मतलब,0.0,0.0,
